,TS,Algo,Graph,NThread,Dur
48,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,130.330328
49,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,112.31624099999999
50,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.631788
51,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,47.241281
52,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.268399
53,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,47.729296000000005
54,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,47.761058
55,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.350331
56,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,49.428501000000004
57,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,49.054662
58,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,47.905981
59,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,49.062903000000006
60,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.278181
61,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,46.631479999999996
62,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,47.868519
63,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,49.704141
64,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,46.299057
65,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,49.680857
66,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.275211999999996
67,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.330937
68,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,49.39387
69,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,49.253033
70,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.439529
71,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.219623
72,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.154394
73,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,47.627966
74,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.891374
75,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.337088
76,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.16722
77,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.044762
78,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,48.537428999999996
79,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,20,47.109458000000004
80,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.594999
81,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,33.179629999999996
82,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.443264
83,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,33.587804
84,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.641426
