TimeStamp,GraphName,NumVertices,NumEdges,Algorithm
2016-11-28_163722,gnutella30_bi,73364,176656,parallel pothen fan
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0.166439,0.084961,0.059406,0.046470,0.036425,0.026343,0.023462,0.020505,0.018638,0.017241,0.015864,0.018199,0.014067,0.013123,0.015357,0.011906,0.011519,0.011053,0.010160,0.009420,0.009033,0.009169,0.009928,0.009347,0.008186,0.007982,0.008176,0.008203,0.007469,0.008009,0.007195,0.007504,0.007383,0.007409,0.006523,0.007162,0.006751,0.006652,0.006803,0.005826,0.006764,0.006622,0.006313,0.006551,0.006278,0.006396,0.006315,0.006291,0.006068,0.006115,0.006258,0.006444,0.005829,0.005876,0.005201,0.006183,0.006252,0.005163,0.006479,0.005755,0.005613,0.005830,0.005611,0.006495,0.005735,0.006700,0.005640,0.005577,0.005951
0.166587,0.084721,0.059685,0.045712,0.037101,0.026810,0.023175,0.020482,0.018367,0.016608,0.015951,0.016976,0.013705,0.012611,0.014369,0.012200,0.011450,0.010621,0.009964,0.009221,0.007926,0.010307,0.010294,0.009700,0.008030,0.007899,0.008307,0.007695,0.008039,0.008012,0.007425,0.007984,0.007525,0.007244,0.007247,0.006667,0.006769,0.006787,0.006700,0.006452,0.006662,0.006734,0.006386,0.006412,0.006650,0.006261,0.006434,0.006020,0.006192,0.005998,0.006067,0.005946,0.005578,0.005871,0.005577,0.006393,0.006477,0.005993,0.005507,0.005334,0.005994,0.005867,0.005912,0.005876,0.005337,0.005627,0.005652,0.005697,0.006538
0.167591,0.084806,0.059972,0.046131,0.036603,0.026070,0.022722,0.020755,0.022337,0.016703,0.016129,0.016868,0.013847,0.012596,0.014223,0.011683,0.013599,0.010610,0.010353,0.008790,0.008433,0.009499,0.009461,0.009806,0.009055,0.008250,0.007936,0.007644,0.007584,0.008737,0.007183,0.007510,0.007204,0.007039,0.006321,0.007299,0.007257,0.006745,0.006932,0.006297,0.006732,0.006691,0.006576,0.006707,0.006994,0.006380,0.006013,0.006480,0.005451,0.005780,0.006234,0.006163,0.006337,0.005659,0.006740,0.006120,0.005955,0.005296,0.006189,0.005034,0.006052,0.005691,0.006281,0.006206,0.005186,0.006191,0.006205,0.005926,0.005883
0.167438,0.084901,0.059960,0.046333,0.036970,0.037101,0.023271,0.020406,0.018574,0.017315,0.015887,0.017840,0.016500,0.013711,0.012294,0.011532,0.011797,0.010689,0.010423,0.008749,0.009290,0.009396,0.010125,0.009007,0.009271,0.008738,0.008386,0.007806,0.007805,0.008145,0.008711,0.007142,0.007510,0.007201,0.006934,0.006416,0.006430,0.006010,0.006192,0.006833,0.006258,0.006536,0.006595,0.006431,0.006692,0.006388,0.006154,0.006129,0.006106,0.006334,0.006101,0.006196,0.005957,0.005146,0.005315,0.006464,0.006927,0.006014,0.005455,0.005615,0.006141,0.005410,0.005143,0.005838,0.005581,0.005764,0.005396,0.005917,0.005950
0.167018,0.084865,0.059358,0.045638,0.036553,0.025859,0.022975,0.020163,0.018202,0.016807,0.016083,0.017035,0.013646,0.013089,0.012527,0.011973,0.013100,0.011656,0.010537,0.008227,0.009085,0.009090,0.008900,0.009496,0.008110,0.008547,0.008097,0.008272,0.007291,0.008464,0.007275,0.007604,0.007316,0.007955,0.006494,0.007307,0.007165,0.007126,0.007265,0.006811,0.006751,0.006936,0.006543,0.006598,0.006976,0.006086,0.006515,0.005826,0.006445,0.005845,0.006531,0.005965,0.005595,0.005815,0.006375,0.006269,0.006626,0.005479,0.006299,0.005503,0.005926,0.005672,0.005782,0.005420,0.006320,0.005329,0.005550,0.005566,0.005399
0.167003,0.085020,0.059791,0.046525,0.030726,0.032471,0.022811,0.020812,0.022628,0.016852,0.015909,0.016728,0.014021,0.013037,0.014270,0.013316,0.011316,0.010941,0.010246,0.008251,0.007922,0.009975,0.009071,0.009937,0.008357,0.007914,0.007902,0.007468,0.007806,0.007186,0.007358,0.008286,0.007057,0.007468,0.007104,0.007072,0.006791,0.006228,0.006813,0.006547,0.006740,0.006580,0.006436,0.006417,0.006337,0.006514,0.006163,0.006418,0.005637,0.005931,0.005887,0.005935,0.006040,0.006289,0.005564,0.006491,0.006761,0.005468,0.006362,0.005386,0.005415,0.006435,0.005374,0.005890,0.005644,0.005416,0.005998,0.005777,0.005914
0.167100,0.085200,0.060073,0.045847,0.036365,0.026135,0.023204,0.020376,0.021978,0.017838,0.015826,0.017434,0.014340,0.013201,0.014302,0.011679,0.013580,0.010414,0.010133,0.008522,0.009860,0.009369,0.009387,0.008701,0.008990,0.008787,0.007774,0.007926,0.007728,0.007675,0.007129,0.008144,0.007437,0.007040,0.006777,0.006704,0.006975,0.007046,0.007052,0.006178,0.006543,0.006911,0.006090,0.006092,0.006104,0.006757,0.006167,0.006306,0.006375,0.006444,0.006158,0.005913,0.005636,0.005212,0.005271,0.006227,0.005892,0.005934,0.006131,0.005789,0.006176,0.006002,0.005997,0.005956,0.005271,0.005815,0.005395,0.005363,0.005770
0.166896,0.085190,0.059633,0.045881,0.037061,0.026543,0.022740,0.020273,0.018572,0.016837,0.015579,0.017239,0.013722,0.013153,0.014848,0.011796,0.013210,0.010547,0.010921,0.009843,0.009429,0.009540,0.009073,0.009212,0.008671,0.008259,0.007983,0.007687,0.007377,0.007742,0.008008,0.007336,0.007257,0.007665,0.006604,0.006988,0.007006,0.007007,0.006656,0.006435,0.006516,0.006541,0.006148,0.007241,0.006140,0.005932,0.006278,0.006415,0.005877,0.005930,0.006892,0.006294,0.005875,0.005900,0.005967,0.006841,0.006037,0.005596,0.005779,0.005406,0.005716,0.005734,0.005177,0.006074,0.005673,0.005867,0.005596,0.005847,0.005572
0.166798,0.085142,0.059414,0.046455,0.036335,0.026897,0.024036,0.020796,0.018767,0.016738,0.016261,0.017109,0.013747,0.012642,0.014246,0.012588,0.013022,0.010975,0.010122,0.008404,0.009127,0.009272,0.008963,0.009663,0.008578,0.007936,0.008004,0.007768,0.007240,0.007297,0.007109,0.007885,0.007454,0.007907,0.006797,0.007015,0.006740,0.005820,0.006677,0.006347,0.006501,0.006252,0.006640,0.006617,0.007123,0.006601,0.006146,0.006114,0.006559,0.005924,0.006465,0.006139,0.006100,0.005789,0.005341,0.005789,0.006807,0.005695,0.005772,0.005668,0.005803,0.005831,0.005899,0.005491,0.005280,0.005320,0.005581,0.005744,0.005700
0.167764,0.085317,0.060010,0.046180,0.036983,0.026011,0.023140,0.020185,0.018497,0.017433,0.015853,0.018519,0.014179,0.012866,0.014418,0.011835,0.011831,0.010394,0.009829,0.009539,0.008065,0.009858,0.010022,0.010332,0.008655,0.007935,0.008116,0.007884,0.008315,0.007754,0.007732,0.007426,0.006919,0.006734,0.006625,0.006995,0.007100,0.006382,0.006947,0.005805,0.006625,0.006360,0.006438,0.006832,0.006446,0.006510,0.006552,0.006061,0.006036,0.005687,0.006487,0.006509,0.005980,0.005742,0.005469,0.006160,0.006497,0.005139,0.006054,0.005373,0.005497,0.005767,0.005811,0.005840,0.005856,0.005515,0.005581,0.005499,0.005981

